beautifully,1.102898157
excellent,1.065384523
gorgeous,1.046535959
terrific,1.040173277
remarkable,1.020335843
masterpiece,0.985436469
hilarious,0.980257705
powerful,0.97128531
wonderful,0.9609811
inventive,0.954561631
brilliant,0.944220875
impressive,0.927901404
heartfelt,0.918574363
enjoyable,0.899957448
delight,0.887682632
colorful,0.8835588
delightful,0.870777766
solid,0.85091296
beautiful,0.849879431
touching,0.831215175
engrossing,0.827246031
fascinating,0.812375625
intriguing,0.751736377
entertaining,0.719786891
satisfying,0.718693819
engaging,0.717290705
warmth,0.716768225
best,0.714637312
charming,0.714365388
thoughtful,0.71341572
perfect,0.713026612
genuine,0.711088978
warm,0.708499675
witty,0.698546135
appealing,0.698492606
strength,0.69099287
rare,0.681319068
worthy,0.673565397
honest,0.672125423
creative,0.663675251
lovely,0.65257153
moving,0.648765764
nice,0.643701235
rich,0.640714036
captures,0.633739827
grace,0.63110512
oscar,0.629896379
intelligent,0.62974554
fine,0.608085978
ability,0.599902234
believable,0.598088755
stylish,0.596189215
fun,0.595935186
unique,0.592574432
provocative,0.591884402
endearing,0.584376379
strong,0.571569338
heart,0.559806806
smart,0.554336948
happy,0.550779071
intimate,0.540000127
watchable,0.539690725
cute,0.533476307
intense,0.529851696
greatest,0.529496236
successful,0.527810835
perfectly,0.524388446
unexpected,0.524241776
sexy,0.521707238
sincere,0.517680249
funny,0.517572666
performance,0.514225942
surprising,0.513220172
sweet,0.510656426
subtle,0.507639555
great,0.50757363
performances,0.505502706
fresh,0.50247501
gentle,0.501893418
spirit,0.49951038
ride,0.493852606
epic,0.490644316
considerable,0.481737897
beauty,0.475861659
enjoy,0.46890631
winning,0.468256631
worth,0.46334669
memorable,0.46075232
compelling,0.456574881
highly,0.452439602
skill,0.448632084
sophisticated,0.448068319
meditation,0.446802151
good,0.445202948
clever,0.440253496
sharp,0.439193476
laugh,0.42642975
sensitive,0.41995357
pure,0.419472415
success,0.417629569
love,0.416132901
amusing,0.413940185
pleasure,0.410256215
contemporary,0.408938768
images,0.408124526
cinematography,0.406897277
important,0.402661455
force,0.40159424
ages,0.396904914
power,0.396771093
spielberg,0.394515352
adventure,0.394143958
universal,0.392074114
edge,0.39084554
reveals,0.388188217
exciting,0.384404772
visually,0.381627768
talented,0.381343185
works,0.380667551
playful,0.379445106
touch,0.379409687
motion,0.375588416
poetic,0.373708868
portrait,0.370635639
cool,0.370035431
charm,0.369672329
definitely,0.363182465
ensemble,0.36107452
passion,0.357691238
right,0.356694329
certainly,0.35616408
form,0.355530061
viewing,0.352451676
simple,0.347421022
convincing,0.344196451
able,0.344054102
brings,0.33746848
imax,0.330122082
female,0.328138876
welcome,0.326922517
decent,0.325425811
deserves,0.322720221
thriller,0.321566701
spiritual,0.318610765
interesting,0.316053156
eyes,0.315924372
knows,0.311503497
delivers,0.311386406
different,0.309902142
proves,0.306950766
complex,0.306108718
seat,0.304878011
soul,0.304512888
remember,0.302654591
year,0.301717217
deeply,0.300678696
master,0.29996467
share,0.298839815
win,0.297656294
allows,0.296181112
effective,0.29323733
crowd,0.292377415
genre,0.290554628
wit,0.290067575
finds,0.289160275
recommend,0.286340828
surprisingly,0.286053661
comingofage,0.284779301
well,0.284019141
acted,0.282781293
sea,0.279691986
manages,0.275586736
documentary,0.275084637
company,0.27415068
study,0.273403444
blade,0.270790597
huge,0.269745326
decades,0.265343385
cinema,0.262814305
energy,0.26100784
mood,0.25822659
humanity,0.256944149
imagination,0.256117061
bring,0.255364314
world,0.254601841
style,0.252717317
comedies,0.252417156
mix,0.250683389
talent,0.250381961
means,0.249181081
depth,0.248750193
keeps,0.248528175
fans,0.248510282
intelligence,0.247433695
entertainment,0.246562215
offers,0.246137366
visual,0.24514175
fare,0.242061035
surprise,0.241712823
robert,0.238553648
experience,0.237194275
still,0.23687651
among,0.236286163
help,0.235737117
inspired,0.234731845
grant,0.230897562
process,0.230649764
quietly,0.230321915
